away,away_rank,away_score,diff_score,game_id,home,home_rank,home_score,rank_diff,round_num,time
DAY,11,0,2,DAY-OSU,OSU,6,2,5,2,0.0
DAY,11,0,2,DAY-OSU,OSU,6,2,5,2,0.25
DAY,11,0,2,DAY-OSU,OSU,6,2,5,2,0.5
DAY,11,0,5,DAY-OSU,OSU,6,5,5,2,0.75
DAY,11,0,5,DAY-OSU,OSU,6,5,5,2,1.0
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,1.25
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,1.5
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,1.75
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,2.0
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,2.25
DAY,11,3,2,DAY-OSU,OSU,6,5,5,2,2.5
DAY,11,3,4,DAY-OSU,OSU,6,7,5,2,2.75
DAY,11,3,4,DAY-OSU,OSU,6,7,5,2,3.0
DAY,11,3,4,DAY-OSU,OSU,6,7,5,2,3.25
DAY,11,7,0,DAY-OSU,OSU,6,7,5,2,3.5
DAY,11,7,0,DAY-OSU,OSU,6,7,5,2,3.75
DAY,11,10,-3,DAY-OSU,OSU,6,7,5,2,4.0
DAY,11,10,-3,DAY-OSU,OSU,6,7,5,2,4.25
DAY,11,10,-1,DAY-OSU,OSU,6,9,5,2,4.5
DAY,11,10,-1,DAY-OSU,OSU,6,9,5,2,4.75
DAY,11,12,-3,DAY-OSU,OSU,6,9,5,2,5.0
DAY,11,13,-2,DAY-OSU,OSU,6,11,5,2,5.25
DAY,11,13,-2,DAY-OSU,OSU,6,11,5,2,5.5
DAY,11,13,-2,DAY-OSU,OSU,6,11,5,2,5.75
DAY,11,13,-2,DAY-OSU,OSU,6,11,5,2,6.0
DAY,11,13,-2,DAY-OSU,OSU,6,11,5,2,6.25
DAY,11,15,-4,DAY-OSU,OSU,6,11,5,2,6.5
DAY,11,15,-4,DAY-OSU,OSU,6,11,5,2,6.75
DAY,11,15,-2,DAY-OSU,OSU,6,13,5,2,7.0
DAY,11,15,-2,DAY-OSU,OSU,6,13,5,2,7.25
DAY,11,17,-4,DAY-OSU,OSU,6,13,5,2,7.5
DAY,11,17,-4,DAY-OSU,OSU,6,13,5,2,7.75
DAY,11,17,-2,DAY-OSU,OSU,6,15,5,2,8.0
DAY,11,17,-2,DAY-OSU,OSU,6,15,5,2,8.25
DAY,11,17,-2,DAY-OSU,OSU,6,15,5,2,8.5
DAY,11,17,-2,DAY-OSU,OSU,6,15,5,2,8.75
DAY,11,17,-2,DAY-OSU,OSU,6,15,5,2,9.0
DAY,11,19,-4,DAY-OSU,OSU,6,15,5,2,9.25
DAY,11,21,-6,DAY-OSU,OSU,6,15,5,2,9.5
DAY,11,21,-6,DAY-OSU,OSU,6,15,5,2,9.75
DAY,11,21,-6,DAY-OSU,OSU,6,15,5,2,10.0
DAY,11,21,-5,DAY-OSU,OSU,6,16,5,2,10.25
DAY,11,21,-2,DAY-OSU,OSU,6,19,5,2,10.5
DAY,11,21,-2,DAY-OSU,OSU,6,19,5,2,10.75
DAY,11,21,-2,DAY-OSU,OSU,6,19,5,2,11.0
DAY,11,21,0,DAY-OSU,OSU,6,21,5,2,11.25
DAY,11,21,0,DAY-OSU,OSU,6,21,5,2,11.5
DAY,11,21,0,DAY-OSU,OSU,6,21,5,2,11.75
DAY,11,22,0,DAY-OSU,OSU,6,22,5,2,12.0
DAY,11,22,0,DAY-OSU,OSU,6,22,5,2,12.25
DAY,11,22,0,DAY-OSU,OSU,6,22,5,2,12.5
DAY,11,22,0,DAY-OSU,OSU,6,22,5,2,12.75
DAY,11,22,0,DAY-OSU,OSU,6,22,5,2,13.0
DAY,11,23,1,DAY-OSU,OSU,6,24,5,2,13.25
DAY,11,23,1,DAY-OSU,OSU,6,24,5,2,13.5
DAY,11,23,2,DAY-OSU,OSU,6,25,5,2,13.75
DAY,11,23,2,DAY-OSU,OSU,6,25,5,2,14.0
DAY,11,23,2,DAY-OSU,OSU,6,25,5,2,14.25
DAY,11,24,1,DAY-OSU,OSU,6,25,5,2,14.5
DAY,11,24,1,DAY-OSU,OSU,6,25,5,2,14.75
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,15.0
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,15.25
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,15.5
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,15.75
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,16.0
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,16.25
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,16.5
DAY,11,26,-1,DAY-OSU,OSU,6,25,5,2,16.75
DAY,11,26,2,DAY-OSU,OSU,6,28,5,2,17.0
DAY,11,29,-1,DAY-OSU,OSU,6,28,5,2,17.25
DAY,11,31,-3,DAY-OSU,OSU,6,28,5,2,17.5
DAY,11,31,-3,DAY-OSU,OSU,6,28,5,2,17.75
DAY,11,31,-3,DAY-OSU,OSU,6,28,5,2,18.0
DAY,11,33,-5,DAY-OSU,OSU,6,28,5,2,18.25
DAY,11,33,-5,DAY-OSU,OSU,6,28,5,2,18.5
DAY,11,33,-3,DAY-OSU,OSU,6,30,5,2,18.75
DAY,11,33,-3,DAY-OSU,OSU,6,30,5,2,19.0
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,19.25
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,19.5
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,19.75
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,20.0
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,20.25
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,20.5
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,20.75
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,21.0
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,21.25
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,21.5
DAY,11,35,-5,DAY-OSU,OSU,6,30,5,2,21.75
DAY,11,35,-3,DAY-OSU,OSU,6,32,5,2,22.0
DAY,11,37,-5,DAY-OSU,OSU,6,32,5,2,22.25
DAY,11,37,-5,DAY-OSU,OSU,6,32,5,2,22.5
DAY,11,37,-3,DAY-OSU,OSU,6,34,5,2,22.75
DAY,11,37,-3,DAY-OSU,OSU,6,34,5,2,23.0
DAY,11,39,-5,DAY-OSU,OSU,6,34,5,2,23.25
DAY,11,39,-5,DAY-OSU,OSU,6,34,5,2,23.5
DAY,11,41,-7,DAY-OSU,OSU,6,34,5,2,23.75
DAY,11,41,-7,DAY-OSU,OSU,6,34,5,2,24.0
DAY,11,41,-6,DAY-OSU,OSU,6,35,5,2,24.25
DAY,11,41,-6,DAY-OSU,OSU,6,35,5,2,24.5
DAY,11,41,-6,DAY-OSU,OSU,6,35,5,2,24.75
DAY,11,41,-6,DAY-OSU,OSU,6,35,5,2,25.0
DAY,11,43,-8,DAY-OSU,OSU,6,35,5,2,25.25
DAY,11,43,-8,DAY-OSU,OSU,6,35,5,2,25.5
DAY,11,43,-8,DAY-OSU,OSU,6,35,5,2,25.75
DAY,11,43,-8,DAY-OSU,OSU,6,35,5,2,26.0
DAY,11,43,-8,DAY-OSU,OSU,6,35,5,2,26.25
DAY,11,43,-6,DAY-OSU,OSU,6,37,5,2,26.5
DAY,11,43,-6,DAY-OSU,OSU,6,37,5,2,26.75
DAY,11,43,-6,DAY-OSU,OSU,6,37,5,2,27.0
DAY,11,43,-4,DAY-OSU,OSU,6,39,5,2,27.25
DAY,11,43,-4,DAY-OSU,OSU,6,39,5,2,27.5
DAY,11,43,-4,DAY-OSU,OSU,6,39,5,2,27.75
DAY,11,43,-4,DAY-OSU,OSU,6,39,5,2,28.0
DAY,11,43,-2,DAY-OSU,OSU,6,41,5,2,28.25
DAY,11,43,0,DAY-OSU,OSU,6,43,5,2,28.5
DAY,11,43,0,DAY-OSU,OSU,6,43,5,2,28.75
DAY,11,43,2,DAY-OSU,OSU,6,45,5,2,29.0
DAY,11,43,2,DAY-OSU,OSU,6,45,5,2,29.25
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,29.5
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,29.75
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,30.0
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,30.25
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,30.5
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,30.75
DAY,11,45,0,DAY-OSU,OSU,6,45,5,2,31.0
DAY,11,45,3,DAY-OSU,OSU,6,48,5,2,31.25
DAY,11,45,3,DAY-OSU,OSU,6,48,5,2,31.5
DAY,11,47,1,DAY-OSU,OSU,6,48,5,2,31.75
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,32.0
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,32.25
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,32.5
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,32.75
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,33.0
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,33.25
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,33.5
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,33.75
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,34.0
DAY,11,47,3,DAY-OSU,OSU,6,50,5,2,34.25
DAY,11,48,2,DAY-OSU,OSU,6,50,5,2,34.5
DAY,11,48,2,DAY-OSU,OSU,6,50,5,2,34.75
DAY,11,50,0,DAY-OSU,OSU,6,50,5,2,35.0
DAY,11,51,1,DAY-OSU,OSU,6,52,5,2,35.25
DAY,11,51,1,DAY-OSU,OSU,6,52,5,2,35.5
DAY,11,51,1,DAY-OSU,OSU,6,52,5,2,35.75
DAY,11,51,1,DAY-OSU,OSU,6,52,5,2,36.0
DAY,11,51,1,DAY-OSU,OSU,6,52,5,2,36.25
DAY,11,53,-1,DAY-OSU,OSU,6,52,5,2,36.5
DAY,11,53,-1,DAY-OSU,OSU,6,52,5,2,36.75
DAY,11,54,-2,DAY-OSU,OSU,6,52,5,2,37.0
DAY,11,54,-2,DAY-OSU,OSU,6,52,5,2,37.25
DAY,11,55,-1,DAY-OSU,OSU,6,54,5,2,37.5
DAY,11,55,-1,DAY-OSU,OSU,6,54,5,2,37.75
DAY,11,55,2,DAY-OSU,OSU,6,57,5,2,38.0
DAY,11,55,2,DAY-OSU,OSU,6,57,5,2,38.25
DAY,11,55,2,DAY-OSU,OSU,6,57,5,2,38.5
DAY,11,55,2,DAY-OSU,OSU,6,57,5,2,38.75
DAY,11,55,2,DAY-OSU,OSU,6,57,5,2,39.0
DAY,11,56,1,DAY-OSU,OSU,6,57,5,2,39.25
DAY,11,56,1,DAY-OSU,OSU,6,57,5,2,39.5
DAY,11,60,-1,DAY-OSU,OSU,6,59,5,2,39.75
DAY,11,60,-1,DAY-OSU,OSU,6,59,5,2,40.0
DAY,11,60,-1,DAY-OSU,OSU,6,59,5,2,40.25
DAY,11,60,-1,DAY-OSU,OSU,6,59,5,2,40.5
DAY,11,60,-1,DAY-OSU,OSU,6,59,5,2,40.75
