,date,round_num,away,away_rank,home,home_rank,time,away_score,home_score,diff_score,rank_diff,cluster_num
0,somedate,2.0,DAY,11.0,OSU,6.0,0.0,0.0,2.0,2.0,5.0,1
1,somedate,2.0,DAY,11.0,OSU,6.0,0.25,0.0,2.0,2.0,5.0,1
2,somedate,2.0,DAY,11.0,OSU,6.0,0.5,0.0,2.0,2.0,5.0,1
3,somedate,2.0,DAY,11.0,OSU,6.0,0.75,0.0,5.0,5.0,5.0,1
4,somedate,2.0,DAY,11.0,OSU,6.0,1.0,0.0,5.0,5.0,5.0,1
5,somedate,2.0,DAY,11.0,OSU,6.0,1.25,3.0,5.0,2.0,5.0,1
6,somedate,2.0,DAY,11.0,OSU,6.0,1.5,3.0,5.0,2.0,5.0,1
7,somedate,2.0,DAY,11.0,OSU,6.0,1.75,3.0,5.0,2.0,5.0,1
8,somedate,2.0,DAY,11.0,OSU,6.0,2.0,3.0,5.0,2.0,5.0,1
9,somedate,2.0,DAY,11.0,OSU,6.0,2.25,3.0,5.0,2.0,5.0,1
10,somedate,2.0,DAY,11.0,OSU,6.0,2.5,3.0,5.0,2.0,5.0,1
11,somedate,2.0,DAY,11.0,OSU,6.0,2.75,3.0,7.0,4.0,5.0,1
12,somedate,2.0,DAY,11.0,OSU,6.0,3.0,3.0,7.0,4.0,5.0,1
13,somedate,2.0,DAY,11.0,OSU,6.0,3.25,3.0,7.0,4.0,5.0,1
14,somedate,2.0,DAY,11.0,OSU,6.0,3.5,7.0,7.0,0.0,5.0,1
15,somedate,2.0,DAY,11.0,OSU,6.0,3.75,7.0,7.0,0.0,5.0,1
16,somedate,2.0,DAY,11.0,OSU,6.0,4.0,10.0,7.0,-3.0,5.0,1
17,somedate,2.0,DAY,11.0,OSU,6.0,4.25,10.0,7.0,-3.0,5.0,1
18,somedate,2.0,DAY,11.0,OSU,6.0,4.5,10.0,9.0,-1.0,5.0,1
19,somedate,2.0,DAY,11.0,OSU,6.0,4.75,10.0,9.0,-1.0,5.0,1
20,somedate,2.0,DAY,11.0,OSU,6.0,5.0,12.0,9.0,-3.0,5.0,1
21,somedate,2.0,DAY,11.0,OSU,6.0,5.25,13.0,11.0,-2.0,5.0,1
22,somedate,2.0,DAY,11.0,OSU,6.0,5.5,13.0,11.0,-2.0,5.0,1
23,somedate,2.0,DAY,11.0,OSU,6.0,5.75,13.0,11.0,-2.0,5.0,1
24,somedate,2.0,DAY,11.0,OSU,6.0,6.0,13.0,11.0,-2.0,5.0,1
25,somedate,2.0,DAY,11.0,OSU,6.0,6.25,13.0,11.0,-2.0,5.0,1
26,somedate,2.0,DAY,11.0,OSU,6.0,6.5,15.0,11.0,-4.0,5.0,1
27,somedate,2.0,DAY,11.0,OSU,6.0,6.75,15.0,11.0,-4.0,5.0,1
28,somedate,2.0,DAY,11.0,OSU,6.0,7.0,15.0,13.0,-2.0,5.0,1
29,somedate,2.0,DAY,11.0,OSU,6.0,7.25,15.0,13.0,-2.0,5.0,1
30,somedate,2.0,DAY,11.0,OSU,6.0,7.5,17.0,13.0,-4.0,5.0,1
31,somedate,2.0,DAY,11.0,OSU,6.0,7.75,17.0,13.0,-4.0,5.0,1
32,somedate,2.0,DAY,11.0,OSU,6.0,8.0,17.0,15.0,-2.0,5.0,1
33,somedate,2.0,DAY,11.0,OSU,6.0,8.25,17.0,15.0,-2.0,5.0,1
34,somedate,2.0,DAY,11.0,OSU,6.0,8.5,17.0,15.0,-2.0,5.0,1
35,somedate,2.0,DAY,11.0,OSU,6.0,8.75,17.0,15.0,-2.0,5.0,1
36,somedate,2.0,DAY,11.0,OSU,6.0,9.0,17.0,15.0,-2.0,5.0,1
